LHR,GBP
SGN,VND
SPY,CFA
IAS,RON
GMP,KRW
AKL,NZD
DUB,EUR
PEK,CNY
TOR,CAD
FRA,EUR
JNB,ZAR
CRK,PHP
DEB,HUF
PRG,CZK
ABJ,CFA
HFA,ILS
ABV,NGN
MAA,INR
CPH,EUR
DLA,CFA
ALG,DZD
SCL,CLP
NRT,JPY
DSS,CFA
GRU,BRL
ICH,KRW
SDU,BRL
AEP,ARS
WAW,PLN
BRQ,CZK
CUN,MXN
DEL,INR
EGY,EUR
GOB,ETB
BOM,INR
HND,JPY
SOF,BGN
JED,SAR
BUD,HUF
MUC,EUR
LTN,GBP
DAD,VND
RUH,SAR
BBU,RON
NSI,CFA
WMI,PLN
ADD,ETB
YUL,CAD
MEX,MXN
ZIG,CFA
CMB,LKR
PMC,CLP
MNL,PHP
TLV,ILS
CTG,COP
LOS,NGN
BJA,DZD
EZE,ARS
BOG,COP
BRU,EUR
RML,LKR
PVG,CNY
VAR,BGN
CPT,ZAR
CTU,CNY
LXR,EGP
CAI,EGP
CDG,EUR
MEL,AUD
ZQN,NZD
SYD,AUD
